City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Rain,Snow
0,Jamestown,US,42.1,-79.24,70.0,88,40,6.93,light rain,0.76,0.0
1,Baykit,RU,61.67,96.37,70.25,57,89,1.59,overcast clouds,0.0,0.0
2,Lebu,CL,-37.62,-73.65,49.03,77,14,6.76,few clouds,0.0,0.0
3,Rikitea,PF,-23.12,-134.97,69.51,58,54,16.06,broken clouds,0.0,0.0
4,Pisco,PE,-13.7,-76.22,63.0,82,20,4.7,few clouds,0.0,0.0
5,Talnakh,RU,69.49,88.4,57.2,62,99,17.9,overcast clouds,0.0,0.0
6,Mataura,NZ,-46.19,168.86,50.11,63,51,1.12,broken clouds,0.0,0.0
7,Hermanus,ZA,-34.42,19.23,55.0,86,30,5.99,scattered clouds,0.0,0.0
8,Ushuaia,AR,-54.8,-68.3,33.8,86,20,3.36,few clouds,0.0,0.0
9,Vila Velha,BR,-20.33,-40.29,66.99,93,0,2.24,clear sky,0.0,0.0
10,Butaritari,KI,3.07,172.79,82.62,76,6,16.22,clear sky,0.0,0.0
11,Arlit,NE,18.74,7.39,90.73,11,0,5.88,clear sky,0.0,0.0
12,Buchanan,LR,5.88,-10.05,76.35,89,100,5.91,light rain,0.14,0.0
13,Torbay,CA,47.67,-52.73,57.0,93,90,12.75,overcast clouds,0.0,0.0
14,Carnarvon,AU,-24.87,113.63,66.2,82,90,8.05,overcast clouds,0.0,0.0
15,Marsa Matruh,EG,31.35,27.25,66.2,82,0,2.93,clear sky,0.0,0.0
16,Gizo,SB,-8.1,156.84,84.51,71,9,3.94,light rain,0.79,0.0
17,Terney,RU,45.05,136.61,62.1,76,100,4.36,overcast clouds,0.0,0.0
18,Mombetsu,JP,44.35,143.35,57.2,100,75,2.24,broken clouds,0.0,0.0
19,Kapit,MY,2.02,112.93,76.84,93,100,0.81,light rain,0.45,0.0
20,Hami,CN,42.8,93.45,74.19,19,0,11.88,clear sky,0.0,0.0
21,Marsh Harbour,BS,26.54,-77.06,82.15,80,100,6.53,overcast clouds,0.0,0.0
22,Cidreira,BR,-30.18,-50.21,64.29,92,12,14.94,few clouds,0.0,0.0
23,Hasaki,JP,35.73,140.83,70.0,94,75,6.93,light rain,0.0,0.0
24,Shizunai,JP,42.33,142.37,66.78,72,7,4.25,clear sky,0.0,0.0
25,Barrow,US,71.29,-156.79,35.6,80,90,14.99,light snow,0.0,0.0
26,Awbari,LY,26.59,12.78,72.95,22,0,2.21,clear sky,0.0,0.0
27,Iqaluit,CA,63.75,-68.51,51.8,57,20,13.87,few clouds,0.0,0.0
28,Hilo,US,19.73,-155.09,84.2,54,40,10.29,scattered clouds,0.0,0.0
29,East London,ZA,-33.02,27.91,63.09,35,0,5.68,clear sky,0.0,0.0
30,Yellowknife,CA,62.46,-114.35,73.99,28,40,16.11,scattered clouds,0.0,0.0
31,Port Elizabeth,ZA,-33.92,25.57,50.0,81,0,4.7,clear sky,0.0,0.0
32,San Rafael,AR,-34.62,-68.33,54.03,43,92,10.67,overcast clouds,0.0,0.0
33,Vila Franca Do Campo,PT,37.72,-25.43,66.2,93,20,9.17,few clouds,0.0,0.0
34,Norman Wells,CA,65.28,-126.83,57.2,82,90,8.05,overcast clouds,0.0,0.0
35,Iskateley,RU,67.68,53.15,40.82,70,100,5.68,overcast clouds,0.0,0.0
36,Qaanaaq,GL,77.48,-69.36,37.71,88,100,3.83,overcast clouds,0.0,0.0
37,Bam,IR,29.11,58.36,87.64,12,0,18.03,clear sky,0.0,0.0
38,Vaini,TO,-21.2,-175.2,78.8,83,40,10.29,scattered clouds,0.0,0.0
39,Bethel,US,41.37,-73.41,80.6,61,1,11.41,clear sky,0.0,0.0
40,Ahuimanu,US,21.44,-157.84,86.0,58,40,14.99,scattered clouds,0.0,0.0
41,Ust-Nera,RU,64.57,143.2,80.15,26,99,10.94,overcast clouds,0.0,0.0
42,Hanzhong,CN,33.07,107.03,70.09,81,100,2.46,overcast clouds,0.0,0.0
43,Cape Town,ZA,-33.93,18.42,54.0,100,75,6.93,fog,0.0,0.0
44,Chuy,UY,-33.7,-53.46,59.54,95,100,12.82,moderate rain,1.44,0.0
45,Ponta Delgada,PT,37.73,-25.67,66.2,93,20,9.17,few clouds,0.0,0.0
46,Chokurdakh,RU,70.63,147.92,64.81,32,83,11.7,broken clouds,0.0,0.0
47,Kenai,US,60.55,-151.26,60.8,54,1,12.75,clear sky,0.0,0.0
48,Kutum,SD,14.2,24.67,76.41,17,0,7.38,clear sky,0.0,0.0
49,Albany,US,42.6,-73.97,87.01,52,71,4.03,broken clouds,0.0,0.0
