,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
12,Buchanan,LR,76.35,light rain,5.88,-10.05,Kamaneahn Hotel Inc
19,Kapit,MY,76.84,light rain,2.02,112.93,Hotel Meligai Kapit
38,Vaini,TO,78.8,scattered clouds,-21.2,-175.2,Keleti Beach Resort
48,Kutum,SD,76.41,clear sky,14.2,24.67,Dibbo areaمنطقة دبو
56,Avarua,CK,77.0,few clouds,-21.21,-159.78,Paradise Inn
62,Tamandare,BR,76.75,scattered clouds,-8.76,-35.1,Pousada 100 Passos
69,Anloga,GH,78.8,few clouds,5.79,0.9,Dey Lodge
73,Puerto Salgar,CO,79.45,overcast clouds,5.46,-74.65,Hotel Confort
75,Shimoda,JP,77.0,broken clouds,34.67,138.95,Shimoda Tokyu Hotel
78,Sao Filipe,CV,78.44,clear sky,14.9,-24.5,Tortuga B&B
102,Inirida,CO,75.22,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
112,Mogadishu,SO,79.0,overcast clouds,2.04,45.34,Hotel Juba
114,Porto Novo,BJ,75.2,few clouds,6.5,2.6,Tour Eiffel Hotel Benin
123,Poya,NC,78.39,scattered clouds,-21.35,165.15,
132,Batagay-Alyta,RU,77.49,clear sky,67.8,130.41,
138,Kuching,MY,77.0,few clouds,1.55,110.33,Hilton Kuching
140,Sibolga,ID,78.01,overcast clouds,1.74,98.78,Hotel Syariah CN Darussalam
145,Daru,PG,79.68,light rain,-9.08,143.21,New century hotel
157,Georgetown,MY,78.8,few clouds,5.41,100.34,Cititel Penang
159,Faanui,PF,77.61,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
168,Omsukchan,RU,78.4,scattered clouds,62.53,155.8,
174,Pakhtakoron,TJ,77.0,clear sky,40.16,68.75,
178,Dakar,SN,78.8,scattered clouds,14.69,-17.44,Novotel Dakar
179,Jacareacanga,BR,79.61,broken clouds,-6.22,-57.75,Casa do Ian😎
191,Balikpapan,ID,78.8,scattered clouds,-1.27,116.83,Grand Jatra Hotel Balikpapan
192,Itarema,BR,78.98,overcast clouds,-2.92,-39.92,Windvillage
200,Katsuura,JP,75.99,broken clouds,35.13,140.3,Katsuura Hilltop Hotel & Residence
201,Pemangkat,ID,78.04,overcast clouds,1.17,108.97,Kost H.Syamsuddin
205,Salo,IT,75.2,few clouds,45.61,10.53,Park Hotel Casimiro Village - Blu Hotels
212,Tateyama,JP,75.99,broken clouds,34.98,139.87,Tateyama Seaside Hotel
224,Fare,PF,78.06,few clouds,-16.7,-151.02,Maitai Lapita Village Huahine
237,Lamu,KE,77.56,light rain,-2.27,40.9,Lamu House
241,Petropavlovsk-Kamchatskiy,RU,75.2,few clouds,53.05,158.65,"ООО ""Гостиничный комплекс ""Петропавловск"""
244,Tutoia,BR,77.9,light rain,-2.76,-42.27,Pousada Guará's
248,Bengkulu,ID,77.38,light rain,-3.8,102.27,Grage Hotel Bengkulu
261,Parry Sound,CA,75.0,few clouds,45.35,-80.03,Bayside Inn
271,Sidi Ali,DZ,77.04,clear sky,36.1,0.42,
