City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Abu Kamal,SY,2020-06-21 20:32:20,34.45,40.92,82.13,31,0,9.57
1,Egvekinot,RU,2020-06-21 20:32:20,66.32,-179.17,60.66,41,21,3.83
2,Saldanha,ZA,2020-06-21 20:32:21,-33.01,17.94,55.4,93,1,3.36
3,Hilo,US,2020-06-21 20:30:06,19.73,-155.09,78.8,65,90,4.7
4,Pevek,RU,2020-06-21 20:32:21,69.7,170.31,45.28,71,6,5.95
5,Albany,US,2020-06-21 20:29:18,42.6,-73.97,93.0,39,62,3.58
6,Kapaa,US,2020-06-21 20:32:22,22.08,-159.32,82.4,65,40,12.75
7,Ponta Do Sol,PT,2020-06-21 20:32:22,32.67,-17.1,71.6,68,20,16.11
8,Kodiak,US,2020-06-21 20:32:22,57.79,-152.41,51.8,87,90,11.41
9,Nikolskoye,RU,2020-06-21 20:32:22,59.7,30.79,60.8,55,0,6.71
10,Yellowknife,CA,2020-06-21 20:30:47,62.46,-114.35,78.01,40,20,20.8
11,Bluff,NZ,2020-06-21 20:32:23,-46.6,168.33,38.73,82,0,5.1
12,Oyama,JP,2020-06-21 20:32:23,36.3,139.8,72.0,93,75,5.82
13,Jamestown,US,2020-06-21 20:32:23,42.1,-79.24,84.2,39,20,8.05
14,East London,ZA,2020-06-21 20:32:23,-33.02,27.91,63.59,64,0,13.4
15,Hambantota,LK,2020-06-21 20:32:25,6.12,81.12,82.29,75,100,19.01
16,Cao Bang,VN,2020-06-21 20:30:22,22.67,106.25,78.85,83,99,2.3
17,Rikitea,PF,2020-06-21 20:32:25,-23.12,-134.97,70.54,70,75,18.79
18,Ribeira Grande,PT,2020-06-21 20:32:25,38.52,-28.7,68.0,88,40,11.41
19,Port Alfred,ZA,2020-06-21 20:32:25,-33.59,26.89,60.01,87,2,1.01
20,New Norfolk,AU,2020-06-21 20:32:26,-42.78,147.06,53.01,93,100,1.01
21,Meadow Lake,US,2020-06-21 20:31:09,34.8,-106.54,97.0,8,40,5.82
22,Dikson,RU,2020-06-21 20:32:15,73.51,80.55,43.88,72,53,14.83
23,Carnarvon,AU,2020-06-21 20:32:26,-24.87,113.63,55.4,87,0,4.7
24,Airai,TL,2020-06-21 20:32:26,-8.93,125.41,55.44,100,75,3.56
25,Banyo,CM,2020-06-21 20:32:26,6.75,11.82,64.81,91,100,2.28
26,Hobart,AU,2020-06-21 20:29:09,-42.88,147.33,55.0,93,75,6.93
27,Trairi,BR,2020-06-21 20:32:27,-3.28,-39.27,79.36,72,5,9.69
28,Grindavik,IS,2020-06-21 20:32:27,63.84,-22.43,60.8,59,99,20.8
29,Vaini,TO,2020-06-21 20:32:27,-21.2,-175.2,77.0,88,75,4.7
30,Cehegin,ES,2020-06-21 20:32:27,38.09,-1.8,79.0,49,0,7.0
31,Puerto Maldonado,PE,2020-06-21 20:32:28,-12.6,-69.18,86.0,70,40,6.93
32,Busselton,AU,2020-06-21 20:32:28,-33.65,115.33,57.0,48,0,20.09
33,Khatanga,RU,2020-06-21 20:32:28,71.97,102.5,60.71,59,86,12.08
34,Georgetown,MY,2020-06-21 20:32:28,5.41,100.34,80.6,94,20,3.36
35,Thunder Bay,CA,2020-06-21 20:32:30,48.4,-89.32,73.99,56,75,13.87
36,Myitkyina,MM,2020-06-21 20:32:30,25.38,97.4,75.34,96,100,1.79
37,Saint-Philippe,RE,2020-06-21 20:32:30,-21.36,55.77,69.8,82,20,4.7
38,Pemangkat,ID,2020-06-21 20:32:30,1.17,108.97,77.67,86,88,4.94
39,Punta Arenas,CL,2020-06-21 20:28:42,-53.15,-70.92,37.4,93,75,4.7
40,Ushuaia,AR,2020-06-21 20:32:31,-54.8,-68.3,37.4,89,24,5.82
41,Talnakh,RU,2020-06-21 20:32:31,69.49,88.4,48.2,70,0,6.71
42,Cabedelo,BR,2020-06-21 20:32:31,-6.98,-34.83,77.0,88,40,8.05
43,Namibe,AO,2020-06-21 20:31:32,-15.2,12.15,69.31,59,0,3.8
44,Raymond,US,2020-06-21 20:32:32,43.9,-70.47,82.0,73,88,1.01
45,Hithadhoo,MV,2020-06-21 20:32:32,-0.6,73.08,83.52,68,13,4.41
46,Tilichiki,RU,2020-06-21 20:32:32,60.47,166.1,66.18,54,15,5.44
47,Tuktoyaktuk,CA,2020-06-21 20:32:32,69.45,-133.04,44.6,81,90,8.05
48,Salem,IN,2020-06-21 20:31:21,11.65,78.17,76.14,83,96,3.44
49,Rio Grande,BR,2020-06-21 20:30:56,-32.03,-52.1,77.0,73,75,3.36
50,Puerto Ayora,EC,2020-06-21 20:32:33,-0.74,-90.35,78.8,69,20,24.16
51,Ketchikan,US,2020-06-21 20:27:49,55.34,-131.65,57.2,62,90,11.41
52,Provideniya,RU,2020-06-21 20:32:12,64.38,-173.3,57.2,58,0,6.71
53,Hasaki,JP,2020-06-21 20:32:34,35.73,140.83,66.2,100,75,9.17
54,Klaksvik,FO,2020-06-21 20:32:34,62.23,-6.59,51.8,100,100,10.29
